State,Vote,Age,HouseholdIncome,Male,Female,WhiteTotalPerc,BlackTotalPerc,IndianTotalPerc,AsianTotalPerc,HawaiianTotalPerc,OtherTotalPerc,TwoOrMoreTotalPerc
Alabama,Republican,39.5,"51,734",0.483,0.517,0.674986,0.265945,0.005061,0.013878,0.000417,0.039712,0.024385
Alaska,Republican,35.3,"75,463",0.517,0.483,0.633606,0.032421,0.14559,0.064165,0.014227,0.109992,0.093396
Arizona,Democratic,38.5,"62,055",0.495,0.505,0.737727,0.045317,0.043353,0.033341,0.00204,0.138223,0.069639
Arkansas,Republican,38.6,"48,952",0.491,0.509,0.75367,0.152012,0.006357,0.015316,0.003471,0.069174,0.039836
California,Democratic,37.3,"80,440",0.498,0.502,0.560507,0.057209,0.00792,0.148282,0.003803,0.222278,0.079348
Colorado,Democratic,37.3,"77,127",0.503,0.497,0.815192,0.041459,0.009441,0.031968,0.001563,0.100378,0.05932
Delaware,Democratic,41.4,"70,176",0.482,0.518,0.674384,0.219902,0.003679,0.039815,0.000729,0.061491,0.038822
Florida,Republican,42.7,"59,227",0.489,0.511,0.71639,0.159357,0.002623,0.027839,0.000629,0.093162,0.060189
Georgia,Democratic,37.3,"61,980",0.482,0.518,0.572455,0.315677,0.003325,0.041326,0.000678,0.06654,0.037386
Hawaii,Democratic,40,"83,102",0.488,0.512,0.241482,0.018814,0.00247,0.376402,0.104007,0.256824,0.242887
Idaho,Republican,37.2,"60,999",0.502,0.498,0.884068,0.006576,0.013127,0.013966,0.001809,0.080455,0.042805
Illinois,Democratic,38.8,"69,187",0.493,0.507,0.697857,0.141289,0.002672,0.0558,0.000409,0.101973,0.04243
Indiana,Republican,38,"57,603",0.495,0.505,0.822822,0.094361,0.002095,0.023698,0.000329,0.056694,0.033238
Iowa,Republican,38.6,"61,691",0.501,0.499,0.890923,0.037154,0.003345,0.025173,0.001251,0.042153,0.029517
Kansas,Republican,37.3,"62,087",0.495,0.505,0.829551,0.056937,0.007649,0.029902,0.000805,0.075156,0.048082
Kentucky,Republican,39.2,"52,295",0.491,0.509,0.862471,0.080958,0.001875,0.015271,0.00068,0.038746,0.027951
Louisiana,Republican,37.8,"51,073",0.491,0.509,0.612463,0.321706,0.005561,0.01735,0.000374,0.042548,0.026937
Maine,Democratic,45.9,"58,924",0.494,0.506,0.936759,0.013898,0.006633,0.011389,0.000142,0.031179,0.027565
Maryland,Democratic,39.2,"86,738",0.484,0.516,0.54244,0.298649,0.002627,0.063672,0.000439,0.092174,0.044908
Massachusetts,Democratic,39.7,"85,843",0.49,0.51,0.765573,0.074694,0.002037,0.067808,0.000405,0.089483,0.047758
Michigan,Democratic,40.1,"59,584",0.494,0.506,0.775614,0.136371,0.005017,0.031767,0.000313,0.050919,0.037726
Minnesota,Democratic,38.5,"74,593",0.502,0.498,0.816431,0.064251,0.009742,0.049149,0.000393,0.060034,0.038829
Mississippi,Republican,38.3,"45,792",0.479,0.521,0.579963,0.376797,0.004679,0.009974,0.000408,0.02818,0.016778
Missouri,Republican,39.1,"57,409",0.491,0.509,0.812854,0.113982,0.003964,0.020217,0.001451,0.047533,0.034995
Montana,Republican,40.2,"57,153",0.504,0.496,0.877981,0.005575,0.061715,0.00816,0.00056,0.046008,0.038339
Nebraska,Republican,36.9,"63,229",0.498,0.502,0.853121,0.047767,0.008772,0.024921,0.000642,0.064777,0.039472
Nevada,Democratic,38.5,"63,276",0.5,0.5,0.62075,0.093299,0.012446,0.083264,0.007061,0.183179,0.075399
New Hampshire,Democratic,43.1,"77,933",0.498,0.502,0.919836,0.015529,0.001621,0.026992,0.000313,0.035709,0.029406
New Jersey,Democratic,40.2,"85,751",0.491,0.509,0.655022,0.133891,0.002508,0.096548,0.000355,0.111674,0.048125
New Mexico,Democratic,38.6,"51,945",0.491,0.509,0.699969,0.020732,0.093068,0.016068,0.000884,0.169279,0.081211
New York,Democratic,39.4,"72,108",0.488,0.512,0.623118,0.153852,0.003922,0.085792,0.000481,0.132836,0.047223
North Carolina,Republican,39.2,"57,341",0.483,0.517,0.675841,0.213506,0.01158,0.029747,0.000709,0.068616,0.03643
North Dakota,Republican,35.4,"64,577",0.509,0.491,0.856753,0.031509,0.051506,0.015754,0.00132,0.043158,0.031486
Ohio,Republican,39.6,"58,642",0.492,0.508,0.804682,0.123565,0.001751,0.023,0.000335,0.046668,0.035558
Oklahoma,Republican,37.1,"54,449",0.492,0.508,0.711459,0.072887,0.076922,0.022037,0.001625,0.11507,0.087315
Oregon,Democratic,39.9,"67,058",0.499,0.501,0.825861,0.018944,0.010939,0.044968,0.003938,0.095351,0.06177
Pennsylvania,Democratic,40.9,"63,463",0.492,0.508,0.793677,0.110949,0.001626,0.035117,0.000334,0.058298,0.033844
Rhode Island,Democratic,40.3,"71,169",0.488,0.512,0.78995,0.065415,0.004107,0.03454,0.000747,0.105241,0.049462
South Carolina,Republican,40.1,"56,227",0.482,0.518,0.665092,0.264471,0.003329,0.016414,0.000714,0.049979,0.029797
South Dakota,Republican,37.6,"59,533",0.504,0.496,0.836117,0.021421,0.085263,0.014116,0.000619,0.042464,0.034139
Tennessee,Republican,39.1,"56,071",0.488,0.512,0.767347,0.166681,0.002537,0.018147,0.000585,0.044704,0.029383
Texas,Republican,35.2,"64,034",0.496,0.504,0.691647,0.120984,0.004816,0.049437,0.000885,0.132231,0.069777
Utah,Republican,31.5,"75,780",0.506,0.494,0.851373,0.012077,0.010543,0.023226,0.009346,0.093435,0.042412
Vermont,Democratic,43,"63,001",0.499,0.501,0.935964,0.012756,0.003,0.016219,0.000328,0.031733,0.027445
Virginia,Democratic,38.7,"76,456",0.489,0.511,0.663203,0.190455,0.00265,0.067032,0.000704,0.075955,0.047687
Washington,Democratic,37.9,"78,687",0.502,0.498,0.735295,0.038635,0.012215,0.08824,0.006804,0.11881,0.070812
West Virginia,Republican,43,"48,850",0.492,0.508,0.925214,0.035567,0.001741,0.007872,0.000262,0.029344,0.024211
Wisconsin,Democratic,40,"64,168",0.501,0.499,0.842963,0.063353,0.008382,0.028138,0.00046,0.056704,0.033505
Wyoming,Republican,38.7,"65,003",0.512,0.488,0.903497,0.008737,0.022563,0.008415,0.001013,0.055776,0.039078
